sellerName,sGender,sClass,sOccupation,seLocale,svName,svEthnicity,svGender,svAge,buyerName,bGender,bClass,bOccupation,bLocale,pL,pD,pF,pS,Year,Date,Title
Alfonso Sanchez,male,foreign,,,Giovanni,Moorish,male,6,Asperto de Zoalio,male,mercanti,,,,13,,13 dc.,1477,1477-06-12,"Tommaso Duracino, filza 20, nr. 284 *"
Ambrogio Casanova,male,artefices,,,Margherita,Abkhazan,female,18,Ideto Lercari,male,nobili,,,150,,,,1430,1430-12-11,"Branca Bagnara, register 4, 1429–1431, fols. 104v–105r"
Ambrogio Casanova,male,artefices,,,Margherita,Abkhazan,female,18,Ideto Lercari,male,nobili,,,150,,,,1430,1430-09-25,"Branca Bagnara, register 4, 1429–1431, fols. 94r *"
Ambrogio de Circulis,male,artefices,coirasarius,,Benedetta,Russian,female,16,Giacomo Pelisono,male,artefici,lanerius,,115,,,,1438,1438,"Antonio Fazio, filza 5, series II, nr. 255"
Ambrogio de Circulis,male,foreign,coirasarius,Milano,Margherita,Mingrelian,female,17,Francesco Lomellini,male,nobili,,,150,,,,1414,1414,"Giuliano Canella, register 4, 1414–1415, fol. 89r"
Ambrogio de Clavaro q. Girolamo,male,artefices,,,Caterina,Moorish,female,27,Cosimo de Sarazna,male,mercanti,,,170,,,,1504,1504-05-29,"Cristoforo Rollero, filza 4, item dated 1504-05-29"
Ambrogio de Fornari,male,mercantes,,,Maria,Russian,female,23,Giovanni de Monti,male,foreign,,Nice,140,,,,1440,1440-11-23,"Antonio Fazio, filza 6, series II, nr. ---"
Ambrogio de Marini,male,nobiles,,,Margherita,,female,32,,,,,,140,,,,1457,1457-10-05,"Tommaso Duracino, filza 3, series I, nr. 272"
Ambrogio de Marini,male,nobiles,,,Margherita,Abkhazan,female,32,Cattaneo de Marini,male,nobili,,,140,,,,1457,1457-03-21,"Tommaso Duracino, filza 3, series I, nr. 94 *"
Ambrogio de Scipione,male,nobiles,,,Caterina,Circassian,female,20,Goffredo Gentile,male,nobili,,,131,,,,1423,1423,"Antonio Fazio, filza 1, nr. 170"
Ambrogio Lomellini,male,nobiles,,,Caterina,Moorish,female,18,Giacomo de Bargalio,male,artefici,speciarius,Bargagli,,40,,40 dc.,1497,1497,"Tommaso Duracino, filza 30, item --- (formerly nr. 648)"
Andrea Cicala,male,nobiles,,,Cristina,Bulgarian,female,18,Pietro de Monelia,male,mercanti,,,110,,,,1418,1418,"Giuliano Canella, register 6, 1418–1421, fol. 21v"
Andrea de Benigassio,male,mercantes,doctor in utroque,,Giuliano,Tartaran,male,16,Manuele Usodimare,male,nobili,,,82,,,,1442,1442,"Branca Bagnara, filza 7, series I, nr. 100"
Andrea de Castiliono,male,mercantes,,,Agnese,Moorish,female,25,Paolo Gentile,male,nobili,,,160,,,,1486,1486,"Martino Brignole, filza 3, nr. 78"
Andrea de Castiliono,male,mercantes,,,Agnese,Moorish,female,25,Pietro Battista Ittaliano,male,nobili,,,160,,,,1486,1486,"Martino Brignole, filza 3, nr. 78"
Andrea de Passano,male,,,,Anna,Russian,female,18,Michele Navaro,male,foreign,,Biscay,,,,,1453,1453,"Antonio Fazio, filza 15, series I, nr. 252"
Andrea de Roxio,male,nobiles,,,Cristina,Abkhazan,female,27,Giannino de Prozascho,male,,,,125,,,,1417,1417,"Giuliano Canella, register 5, 1415–1417, fol. 273r–v"
Andrea de Sachis,male,mercantes,,,Lucia,Abkhazan,female,10,Agostino Cazerio,male,artefici,sartor,,63,,,,1455,1455-11-30,"Tommaso Duracino, filza 2, series I, nr. 378 *"
Andrea Doria,male,nobiles,,,Valentino,Abkhazan,male,20,Giovanni Geronense,male,foreign,,Mallorca,100,,,,1460,1460-05-30,"Tommaso Duracino, filza 5, nr. 266 (formerly nr. 466)"
Andrea Erena,male,,,,Lucia,Abkhazan,female,30,Andrea Marocello,male,nobili,,,,,,,1460,1460,"Branca Bagnara, filza 18, nr. 174"
Andrea Giudice,male,mercantes,,,Maria,Tartaran,female,20,Pietro Lonso de Ceriale,male,mercanti,,Ceriale,131,,,,1428,1428,"Branca Bagnara, filza 1, series I, nr. 223"
Andrea Imperiale,male,nobiles,,,Antonio,Russian,male,23,Lorenzo Forte,male,artefici,,Savona,100,,,,1437,1437,"Branca Bagnara, filza 18, nr. 70"
Andrea Maffono,male,nobiles,,,Clareta,Circassian,female,10,Taddeo Mauro,male,,,,60,,,,1409,1409-07-01,"Stefano Boccone, filza 1, series I, item dated 1409-07-01"
Andrea Pasano,male,,,,Giovanni,Russian,male,15,Michele Navaro,male,foreign,,Biscay,,,,,1453,1453,"Antonio Fazio, filza 15, series I, nr. 252"
Andrea Pigno,male,nobiles,,,Maria,Russian,female,24,Biancheta de Marini,female,nobili,,,200,,,,1467,1467-07-28,"Tommaso Duracino, filza 10, nr. 509"
Andrea Roverino,male,artefices,,,Marta,Tartaran,female,27,Gabriele de Servaricia,male,artefici,notarius,,,,,,1433,1433,"Branca Bagnara, filza 2, series III, nr. 103"
Andreola di Negro,female,nobiles,,,Marta,Circassian,female,17,Giovanni Mezano,male,,,,109,,,,1417,1417,"Giuliano Canella, register 5, 1415–1417, fol. 294v"
Andreolo de Caito,male,artefices,,,Caterina,Moorish,female,20,Battista Bonivento,male,nobili,doctor medicine,,,40,,40 dc.,1474,1474,"Tommaso Duracino, filza 17, nr. 673"
Andreolo de Caito,male,artefices,,,Caterina,Moorish,female,20,Battista Bonivento,male,nobili,medicine doctori,,,40,,40 dc.,1474,1474-09-17,"Tommaso Duracino, filza 17, nr. 673"
Andreolo Doria,male,nobiles,,,Maria,Circassian,female,25,Andrea Delfino de Varagine,male,artefici,,Varazze,170,,,,1453,1453-08-13,"Tommaso Duracino, filza 1, series I, nr. 109"
Andreolo Fieschi,male,nobiles,notarius,,Clara,Circassian,female,19,Benedetto Guascona,male,,,,102.5,,,102 l. 10 s.,1415,1415-11-09,"Giuliano Canella, register 5, 1415–1417, fol. 26v"
Anechino de Bregis,male,foreign,revenditor raubarum,Bruges,Caterina,Moorish,female,22,Girolamo Vivaldi,male,nobili,,,160,,,,1476,1476-05-10,"Tommaso Duracino, filza 19, series I, nr. 294 *"
Anfreone Usodimare,male,nobiles,,,Caterina,Albanian,female,18,Niccolò Ilione,male,mercanti,,,230,,,,1485,1485,"Martino Brignole, filza 2, nr. 167"
Anfreone Usodimare,male,nobiles,,,Caterina,Circassian,female,,Cristoforo Spinola,male,nobili,,,200,,,,1494,1494,"Antonio Pastorino, filza 8, nr. 256"
Angeleto de Capeleto,male,,,,Ali,Moorish,male,,Niccolò Maineto,male,mercanti,,,100,,,,1498,1498,"Nicolò Raggi, filza 25, nr. 596"
Angelo de Vincis,male,,,,Caterina,Moorish,female,20,Niccolò Carmandino,male,nobili,,,203,,,,1497,1497,"Nicolò Raggi, filza 24, nr. 95"
Angelo de Zuchis,male,artefices,seaterius,Savona,Anna,Russian,female,28,Bernardo Lercari,male,nobili,,,90,,,,1448,1448-09-20,"Antonio Fazio, filza 13, series I, nr. 199"
Angelo Grasso,male,,,,Caterina,Turkish,female,25,Francesco Spinola,male,nobili,,,200,,,,1489,1489,"Antonio Pastorino, filza 3, nr. 416"
Angelo Grasso,male,,,,Caterina,Wallachian,female,15,Pellegro Riccobono,male,mercanti,,,200,,,,1487,1487,"Quirico Serravalle, filza 2, nr. 77"
Angelo Ihosa,male,,,,Lucia,Circassian,female,22,Giacomo Giustiniani,male,mercanti,,,215,,,,1468,1468,"Tommaso Duracino, filza 11, nr. 265"
Angelo Marchesio,male,mercantes,,,Maria,Tartaran,female,26,Gabriele Rissotto,male,artefici,corrigiarius,,100,,,,1458,1458-12-21,"Tommaso Duracino, filza 3, series II, nr. 287"
Angelo Marchesio,male,mercantes,,,Maria,Tartaran,female,25,Angelo de Maggiolo,male,artefici,speciarius,,120,,,,1458,1458-11-29,"Tommaso Duracino, filza 3, series II, nr. 242"
Ansaldo Laurelo,male,,,,Martino,Circassian,male,24,Giacomo Ferrerio,male,foreign,,Valencia,80,,,,1420,1420,"Pietro Foglietta, filza 1, series II, nr. 234"
Antonio,male,,,,Anastasia,Russian,female,25,Lorenzo Marenco,male,artefici,,,125,,,,1449,1449-05-20,"Antonio Fazio, filza 13, series I, nr. 270"
Antonio Bolano,male,artefices,calafatus,,Marta,Circassian,female,11,Francesco de Villanova,male,artefici,notarius,,63.75,,,63 l. 15 s.,1402,1402,"Bartolomeo Gatto, register 9, volume II, 1402–1406, fol. 81r"
Antonio Bonfilio,male,,,,Giorgio,Circassian,male,13,Giovanni Lercari,male,nobili,,,110,,,,1473,1473-03-08,"Tommaso Duracino, filza 16, nr. 191"
Antonio Bordino,male,mercantes,,,Lucia,Russian,female,28,Niccolò Spinola,male,nobili,,,130,,,,1444,1444,"Antonio Fazio, filza 8, series II, nr. 180"
Antonio Boto,male,artefices,,,Caterina,Mingrelian,female,15,Raffaele Mercader,male,foreign,,Valencia,100,,,,1463,1463-10-09,"Tommaso Duracino, filza 7, series I, nr. 206 *"
Antonio Carbone,male,foreign,pawnbroker,Asti,Luca,Russian,male,10,Francesco de Loreto,male,artefici,scaterius,,85,,,,1425,1425,"Antonio Fazio, filza 1, nr. 285"
Antonio Cavo,male,artefices,calafatus,,Andrea,Circassian,female,17,Paolo de Sancto Romulo,male,artefici,calafatus,San Remo,55,,,,1416,1416,"Bartolomeo Pino de Saulo, filza 1, nr. 242"
Antonio Cepula,male,foreign,,Naples,Elia,Turkish,female,22,Antonio da Sole,male,mercanti,,,,30,,30 dc.,1483,1483-02-13,"Tommaso Duracino, filza 24, series II, nr. 64"
Antonio Corsanego,male,,,,Maria,Russian,female,16,Battista de Canali,male,artefici,calzolarius,,110,,,,1436,1436,"Antonio Fazio, filza 4, series II, nr. 141"
Antonio Corsario,male,mercantes,,,Margherita,Abkhazan,female,12,Giacomo Marchisio,male,mercanti,,,110,,,,1436,1436,"Lorenzo Villa, filza 1, nr. ---"
Antonio Costa,male,artefices,,,Lucia,Russian,female,20,Donato Tarigo,male,mercanti,,,116,,,,1414,1414,"Giuliano Canella, register 4, 1414–1415, fol. 152r"
Antonio de Astis,male,foreign,,Asti,Anna,Russian,female,13,Giannetto Lomellini,male,nobili,,,90,,,,1410,1410,"Giuliano Canella, register 2, volume II, 1410–1411, fol. 56r"
Antonio de Balestrino,male,nobiles,,,Maddalena,Russian,female,18,Antonio Pietra,male,,,,111,,,,1421,1421,"Bartolomeo Gatto, register 11, 1412–1427, fol. 113r"
Antonio de Bargalio,male,artefices,canabacerius,Bargagli,Caterina,Moorish,female,22,Bartolomeo Biono,male,,,,150,,,,1477,1477-03-21,"Tommaso Duracino, filza 20, nr. 138 *"
Antonio de Bargalio,male,artefices,canabacerius,Bargagli,Maria,Canaries,female,,,,,,,,,,,1481,1481,"Emmanuele Granello, filza 2, nr. 36"
Antonio de Bargalio,male,artefices,canabacerius,Bargagli,Margarita,Tartaran,female,24,Giovanni de Oliva,male,mercanti,,,100,,,,1412,1412,"Giuliano Canella, register 3, 1412–1413, fol. 121r"
Antonio de Belleciono,male,mercantes,,,Benedetta,Circassian,female,20,Giovanni Grillo,male,nobili,,,150,,,,1430,1430,"Branca Bagnara, filza 1, series II, nr. 162"
Antonio de Benedetto,male,nobiles,,,Agnese,Tartaran,female,25,Battista,male,,,,200,,,,1464,1464,"Oberto Foglietta, filza 9, nr. 47"
Antonio de Bertramino,male,,,Varzi,Maria,Russian,female,22,Matteo di ser Antonio,male,foreign,,Florence,140,,,,1444,1444,"Branca Bagnara, filza 8, series I, nr. 219"
Antonio de Canicia,male,artefices,,,Caterina,Russian,female,11,Albertino de Tabia,male,,,,120,,,,1436,1436,"Branca Bagnara, filza 18, nr. 63"
Antonio de Canobio,male,artefices,coiraserius,,Demetria,Bulgarian,female,20,Adret de Falceto,male,foreign,,Catalonia,80,,,,1466,1466,"Tommaso Duracino, filza 9, nr. 157"
Antonio de Cassina,male,mercantes,,Albisola,Caterina,Hungarian,female,28,Ambrogio Cattaneo,male,nobili,,,130,,,,1463,1463-03-16,"Tommaso Duracino, filza 7, series I, nr. 64"
Antonio de Castiliono,male,mercantes,notarius,,Margarita,Tartaran,female,18,Margarita wife of Galaffio,female,artefici,speciarius,San Remo,70,,,,1392,1392-01-02,"Cristoforo de Revellino, register 6, 1392, fol. 1r–v"
Antonio de Coronato,male,artefices,,Coronata,Maria,Moorish,female,30,Teramo Baliano,male,artefici,scaterius,,130,,,,1482,1482,"Nicolò Raggi, filza 12, nr. 324"
Antonio de Dallo,male,artefices,gramatice professor,,Cita,Russian,female,25,Matteo di ser Antonio,male,foreign,mercator,Florence,142,,,,1446,1446-01-25,"Andrea de Cairo, filza 3, series I, nr. 22"
Antonio de Ferrari,male,artefices,,,Chichicasa,Circassian,female,15,Abrayno de Lucho,male,mercanti,,,190,,,,1457,1457-03-09,"Bartolomeo Risso, filza 5, series III, nr. 11"
Antonio de Ferrari,male,artefices,,,Margherita,Russian,female,20,Paolo Raggi,male,mercanti,,,130,,,,1437,1437,"Gabriele Salvarezza, register 1, 1406–1437, fol. 150r"
Antonio de Garexio,male,artefices,,,Venturino,Russian,male,50,Martino de Albulis,male,foreign,,Biscay,,50,,50 dc.,1459,1459-10-25,"Tommaso Duracino, filza 4, nr. 552"
Antonio de Goano,male,mercantes,notarius,,Maddalena,Tartaran,female,20,Andrea Ponsone,male,,,,120,,,,1425,1425,"Lorenzo Villa, filza 3, nr. 269"
Antonio de Insula,male,nobiles,,,Maddalena,Abkhazan,female,29,Bartolomeo loardis,male,artefici,scaterius,,190,,,,1497,1497,"Tommaso Duracino, filza 30, item --- (formerly nr. 95)"
Antonio de Insula,male,nobiles,,,Maddalena,Abkhazan,female,29,Lorenzo loardis,male,artefici,scaterius,,190,,,,1497,1497,"Tommaso Duracino, filza 30, item --- (formerly nr. 95)"
Antonio de Lacvara,male,,,Novi,Erestina,Tartaran,female,25,Antonio Rebuffo,male,mercanti,,,70,,,,1379,1379-08-18,"Oberto Foglietta, filza 1, nr. 109"
Antonio de Lavania,male,artefices,battifolius,Lavagna,Lucia,Circassian,female,42,Ienono de Corpelo,male,,,,,,,,1492,1492-06-20,"Luca Torre, filza 2, item dated 1492-06-20"
Antonio de Maddalena,male,mercantes,,,,Tartaran,female,20,Giacomo di Giovanni,male,foreign,,Florence,72,,,,1401,1401,"Giovanni de Allegro, register 2, 1400–1407, fol. 60v"
Antonio de Martis,male,foreign,,Bonifacio,Caterina,Turkish,female,18,Pietro de Clerano,male,,,Mallorca,120,,,,1415,1415,"Andrea Medianotte, filza 1, series I, nr. 132"
Antonio de Passagio,male,artefices,callegarius,,Margherita,Russian,female,35,Venturino Borromeo,male,foreign,,Milano,,,,,1455,1455-06-16,"Bartolomeo Risso, filza 4, series I, nr. 129"
Antonio de Passagio,male,artefices,callegarius,,Margherita,Russian,female,30,Venturino Borromeo,male,foreign,,Milano,,,,,1455,1455-06-16,"Bartolomeo Risso, filza 4, series I, nr. 129"
Antonio de Percipiano,male,,,,,Russian,female,27,Bernardo Dala,male,foreign,mercator,Catalonia,200,,,,1449,1449-07-19,"Bartolomeo Risso, filza 1, series II, nr. 94"
Antonio de Pinu,male,foreign,,Pino (Corsica),Mustafà,Turkish,male,23,Napoleone de Alferiis,male,foreign,,Nice,41.25,,,41 l. 5 s.,1480,1480-11-13,"Tommaso Duracino, filza 23, series I, nr. 319"
Antonio de Pinu,male,foreign,,Pino (Corsica),Martino,Circassian,male,25,Marco Pellegro,male,mercanti,,,100,,,,1450,1450,"Antonio Fazio, filza 13, series II, nr. 340"
Antonio de Ponte,male,artefices,,,Caterina,Bulgarian,female,32,Francesco da S. Miniato,male,artefici,scaterius,,150,,,,1479,1479-09-24,"Tommaso Duracino, filza 22, nr. 549 (formerly nr. 349)"
Antonio de Ponte,male,artefices,,,Maddalena,Russian,female,24,Lodovico de Goastis,male,artefici,magister gramatice,,60,,,,1405,1405,"Lombardo di Santo Stefano, filza 1, series I, nr. ---"
Antonio de Puteo,male,mercantes,canabacerius,,Marta,Russian,female,14,Leone de Marini,male,nobili,,,130,,,,1437,1437-03-20,"Antonio Fazio, filza 5, series I, nr. 60"
Antonio de Puteo,male,mercantes,canabacerius,,Maria,Circassian,female,25,Clemente Micono,male,artefici,calzolarius,,107.08,,,,1413,1413,"Giuliano Canella, register 3, 1412–1413, fol. 212r"
Antonio de Puteo,male,mercantes,canabacerius,,,Abkhazan,,30,Francesco de Sancto Miniato d. Borromeo,male,,,,60,,,,1412,1412,"Giuliano Canella, register 3, 1412–1413, fol. 47r–v"
Antonio de Quarto q. Agosto,male,artefices,olim calzolarius,,Caterina,Albanian,female,55,Antonio de Bertamino,male,mercanti,,,39.75,,,39 l. 15 s.,1459,1459-04-07,"Giacomo Rondanina, filza 1, series II, nr. 137"
Antonio de Rapallo,male,mercantes,,Rapallo,Margherita,Russian,female,12,Pietro Stella,male,mercanti,,,160,,,,1461,1461-01-28,"Tommaso Duracino, filza 6, series I, nr. 44"
Antonio de Salle,male,,,,Giovanni,Moorish,female,25,Raffaele,male,,,,,,,,1487,1487,"Antonio Pastorino, filza 2, nr. 156"
Antonio de Salvo,male,artefices,notarius,,Martino,Circassian,male,25,Bartolomeo Luchino,male,,,,70,,,,1408,1408,"Bartolomeo Gatto, register 10, volume II, 1408, fol. 73r"
Antonio de Salvo,male,mercantes,notarius,,Giacobeto,Abkhazan,male,24,Giovanni Stella,male,mercanti,revenditor raubarum,,62,,,,1408,1408,"Giovanni de Allegro, register 3, 1408–1428, fol. 24r"
Antonio de Sarzano,male,foreign,notarius,Sarzana,Giorgio,Tartaran,male,22,Paolo Sansone,male,,,,87.2,,,87 l. 4 s.,1412,1412,"Bartolomeo Gatto, register 11, 1412–1427, fol. 50v"
Antonio de Strupa,male,mercantes,,,Caterina,Russian,female,15,Giuliano Leardo,male,artefici,,,160,,,,1433,1433-05-22,"Antonio Fazio, filza 3, series I, nr. 262"
Antonio de Tacio,male,artefices,,,Margherita,Circassian,female,25,Simone Cicala,male,nobili,,,150,,,,1468,1468,"Tommaso Duracino, filza 11, nr. 270"
Antonio de Turrilia,male,artefices,lanerius,Torriglia,Margherita,Tartaran,female,40,Bartolomeo Viacava,male,nobili,,,76.25,,,76 l. 5s,1454,1454-04-04,"Paolo de Recco, filza 5, series II, item dated 1454-04-04"
Antonio de Turrilia,male,artefices,lanerius,Torriglia,Caterina,Circassian,female,16,Gabriele Marchiono,male,mercanti,,,190,,,,1460,1460-01-24,"Tommaso Duracino, filza 5, nr. 49 (formerly nr. 311)"
Antonio de Vigenio,male,artefices,lanerius,,Teodora,Russian,female,20,Niccolò Gentile,male,nobili,,,150,,,,1436,1436,"Antonio Fazio, filza 4, series II, nr. 57"
Antonio de Zoalio,male,mercantes,,,Maria,Moorish,female,14,Battista Regito,male,,,,,51,,51 dc.,1484,1484,"Martino Brignole, filza 1, nr. 553"
Antonio Dentuto q. Luchino,male,nobiles,,Genoa,Maria,Tartaran,female,28,Lodisio Tortorino,male,mercanti,,,90,,,,1385,1385-02-08,"Teramo Maggiolo, register 1, 1342–1394, fol. 194r"
Antonio Dentuto q. Luchino,male,nobiles,,Genoa,Rubio,Russian,male,25,Lodisio Tortorino,male,mercanti,,,90,,,,1385,1385-02-08,"Teramo Maggiolo, register 1, 1342–1394, fol. 194r"
Antonio Gentile,male,nobiles,,,Caterina,Russian,female,14,Bartolomeo Girones,male,foreign,,Mallorca,,,,,1430,1430,"Branca Bagnara, filza 1, series II, nr. 270"
Antonio Grillo,male,nobiles,,,Maddalena,Russian,female,31,Niccolò de Guizo q. Niccolò,male,mercanti,,,131,,,,1455,1455-11-08,"Bartolomeo Risso, filza 6, nr. 319"
Antonio Ittaliano,male,nobiles,,,Maria,Russian,female,19,Battista Zaccaria,male,mercanti,,,90,,,,1411,1411,"Giuliano Canella, register 2, volume II, 1410–1411, fol. 114r"
Antonio Jochi de Montefigataxio,male,artefices,magister cammocatorum,Genoa,Maddalena,Russian,female,20,Gaspare Gentile,male,nobili,,,120,,,,1426,1426-07-16,"Branca Bagnara, register 3, 1426–1428, fols. 27r–28r"
Antonio Lercari,male,nobiles,,,Sofia,Circassian,female,20,Gonzale Sanches,male,foreign,mercator,Castile,75,,,,1412,1412,"Bartolomeo Gatto, register 11, 1412–1427, fol. 69v"
Antonio Maciola,male,,,,Caterina,Moorish,female,25,Martino Giustiniani,male,mercanti,,,,120,,120 dc.,1474,1474,"Tommaso Duracino, filza 17, nr. 641"
Antonio Marcono,male,nobiles,,,Martino,Tartaran,male,25,Antonio Feo,male,foreign,,Barcelona,,,41,41 fl.,1400,1400,"Giovanni de Allegro, register 2, 1400–1407, fol. 1r"
Antonio Masolla,male,,,,Caterina,Circassian,female,22,Pellegro de Mondello,male,artefici,,,200,,,,,,"Oberto Foglietta, filza 4, series II, nr. 414"
Antonio Muffo,male,artefices,navigator,,Caterina,Russian,female,12,Pietro Spinola,male,nobili,,,110,,,,1447,1447,"Antonio Fazio, filza 11, nr. 313"
Antonio Narixano q. Pietro,male,nobiles,,,Nestasia,Russian,female,34,Corrado Bozono,male,artefici,corrigiao,,160,,,,1453,1453-01-26,"Tommaso Duracino, filza 1, series I, nr. 9"
Antonio Negrone,male,nobiles,,,Elena,Russian,female,15,Bartolomeo de Finario,male,artefici,faber,Finale,140,,,,1447,1447,"Antonio Fazio, filza 11, nr. 324"
Antonio Pastine,male,nobiles,,,Maddalena,Russian,female,18,Luciano de Mossa,male,religious,preacher,,150,,,,1428,1428,"Bartolomeo Senarega, filza 1, nr. 68"
Antonio Pastine,male,nobiles,,,Maddalena,Russian,female,18,Luciano de Massa,male,religious,prete,,150,,,,1429,1429-05-19,"Bartolomeo Foglietta, filza 1, nr. 68"
Antonio Pelisono,male,artefices,lanerius,,Caterina,Circassian,female,18,Giovanni Ponsano,male,artefici,scaterius,,150,,,,1457,1457-04-30,"Bartolomeo Risso, filza 5, series I, nr. 101"
Antonio Pepere,male,nobiles,,,Margherita,Abkhazan,female,35,Niccolò de Crosia,male,artefici,rabbarolius,,,,,,1416,1416,"Andrea Medianotte, filza 1, series I, nr. 303"
Antonio Pinelli,male,nobiles,,,Lucia,,female,14,Matteo de Nigris,male,foreign,mercator,Milano,200,,,"200 l. of ""paghe"" in the Banco di San Giorgio.",1456,1456-10-01,"Bartolomeo Risso, filza 4, series II, nr. 235"
Antonio Ponsano,male,,,,Marta,Tartaran,female,,Girolamo de Albario,male,artefici,,Albaro,85,,,,1411,1411,"Lorenzo Villa, filza 1, nr. 136"
