hName,hGender,hClass,hOcc,hLoc,hActive,hID,hOMID,svName,svEthnicity,svEthID,svEthOMID,svGender,svActive,,,,svID,svOMID,fs,3pserv,py,3ppay,patr,pl,actTitle,actDate,actYear,aa (Author),aaID,aaOMID,actArItem,aArItemID,ArItOMID,rights,actID,actOMID,actTitle,ActDescription
Andronico de Franchi,male,mercantes,,,1444–1482,a72ae17d-37fd-4d67-8432-61876c7bfe0f,38623,Valentino,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,male,1444–1469,1444,1469,25,a1400063-9b2f-40d8-8e4a-9aab51f3bcb5,40017,4,y,,,y,in a home of an independent party,"Giovanni Danove, filza 2, series I, nr. 467",1469-03-10,1469,Giovanni de Novi,4063c1fd-cd7d-46ad-a4d5-256fd90ceb66,31238,Notai antichi 917,83087068-721e-446d-bdff-bd588c1050e2,37854,Archivio di stato di Genova,bfb7b623-42c3-45d7-9d65-74ba00cef97b,40283,Franchixia,"A certain Andronico de Franchis frees the Circassian slave Valentino, who is 25 year of age."
Anechio de Bruges,male,foreign,revenditor raubarum,27534,1451–1484,da10efc3-79ca-4fd5-bb97-7be132732443,26522,Agnese,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb147,31361,female,1445–1475,1445,1475,30,e2b474cf-3c16-4d51-aa78-59fb9580d406,40037,,,,,y,at the table of the notary,"Tommaso Duracino, filza 18, nr. 155 (formerly nr. 13)",1475-03-20,1475,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 905,a3df6402-1b42-421a-afd6-caf0fe36cd74,37845,Archivio di stato di Genova,d9ae9da2-f1d6-43f2-bd09-2522dac13dc2,40387,Franchixia,"A certain Anechio da Bruges, ""revenditor raubarum"", frees the Circassian slave Agnes, who is 30 years of age."
Angelo Ihocia,male,,,,1474–1499,d51575a7-389b-4a2d-a7d3-d139b33f77ba,39837,Maddalena,Moorish,04348640-60da-4bab-811c-6f34b0aef7a27,31559,female,1454–1499,1454,1499,45,ca544861-9a7a-4592-a326-cf56d72d53de,40057,,,,,,,"Niccolò Raggi, filza 26, nr. 470",1499,1499,Niccolò Raggi,36f8b974-03c1-4387-a286-cc847b0b1f36,25500,Notai antichi 1038,dd424291-5588-49ff-b8d1-5e5da63ef909,37751,Archivio di stato di Genova,fe11e920-67e9-4a8d-8e81-2b4a71562b14,40369,Franchixia,"A certain Angelo Ihocia frees the Moorish slave Maddalena, who is 45 years of age."
Angelo Imperiale,male,nobiles,,,1412–1437,abedf9f0-c2e2-411c-933f-187ff530d6ed,39838,Giannina,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,1409–1437,1409,1437,28,82ba728c-25ca-434a-9962-e8976cc61212,40058,,,,,,,"Antonio Fazio, filza 5, series I, nr. 36",1437,1437,Antonio de Facio,470ec411-000f-4a1a-a163-9d3bd5fd8e2a,23454,Notai antichi 579,7c17d650-29fb-4477-96c5-8d0fb617e071,37797,Archivio di stato di Genova,5e9f3624-06bf-4d1d-8f3b-5809b1c5340a,40210,Franchixia,"A certain Angelo Imperiale frees the Russian slave Giannina, who is 28 years of age."
Angelo Pinelli,male,nobiles,,,1440–1496,ef1ea5d9-63c0-43d6-b6ad-3a3e1cad7aeb,25468,Lucia,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,1423–1465,1423,1465,42,122c1749-8f35-4b1c-b7ff-427f5dcd672a,40048,6,,,,y,in the house inhabited by the holder,"Simone Canella, filza 1, series I, nr. 80",1465-01-09,1465,Simone Canella,cdf8188d-eacd-4f39-b4ff-3c19792d068f,23162,Notai antichi 869,002d13f6-c68a-4ab1-96cc-da6ce6d30d0d,39724,Archivio di stato di Genova,5fd81b89-36f3-4a86-aac0-732ba37440d2,40378,Franchixia sclave,"A certain Angelo Pinelli q. Aimone frees the enslaved Russian woman Lucia, who is approximately 42 years of age."
Ansaldo Usodimare,male,nobiles,,39703,1431–1456,48336412-46d8-4edf-ad4a-63f6ecfe94e4,39839,Gigemben,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,male,1421–1456,1421,1456,35,03c25314-3f37-46c1-aaad-ca7f3a3b2179,40059,2,,,,n,in the house inhabited by the holder,"Domenico de Algario, filza 1, series I, nr. 18",1456-11-20,1456,Luchino de Porta,d6ef711e-8cf9-46f2-a25d-b2f381537792,25497,Notai antichi 944,d11fdf57-918e-44b7-97d2-f1920a3573cf,39754,Archivio di stato di Genova,b15145e4-681b-4d11-9696-1da6b0f42cb9,40257,Franchixia sclave,"This is document 19 in Roccatagliata, Notai genovesi in oltremare, Mitelene."
Antonio de Cairo,male,artefices,,,1385–1410,e285cbf8-548c-40b7-9ba2-b52f0fd924c6,39840,Marta,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd100,26258,female,–1410,,1410,1410,2ced9137-0de6-4212-a87b-286d0f79ad40,40060,,,,,,,"Lombardo di Santo Stefano, filza 2, series II, nr. 35",1410,1410,Lombardo de Sancto Stefano,409a2b77-c594-4a22-98d5-9a99f4980053,30631,Notai antichi 541,21e09acd-2c30-4797-ac0d-0f36da855c49,39799,Archivio di stato di Genova,755ac1f0-18db-4941-8e5d-7f0f9a21570e,40323,Franchixia,"A certain Antonio de Cario frees the Tartaran slave Marta, whose age is not indicated."
Antonio de Cavo,male,artefices,calafatus,27774,1391–1416,6ea6c6a2-761d-4d22-85a5-4754b6339992,26540,Anna,,,,female,–1416,,1416,1416,5fac18cf-dd80-490f-851d-d7d888bfea53,39999,7,,,,y,in a home of an independent party,"Giovanni de Recco, filza 1, series I, nr. 69",1416-03-15,1416,Giovanni de Recco,7ce9e1ed-5d2f-4322-aeb7-e7791a19031e,25509,Notai antichi 596,af8bf83e-ae59-45f2-aed0-3f8e2ed5764b,39803,Archivio di stato di Genova,967c5b03-5c36-4e3e-ab3d-e1cf72500f7f,40296,Franchixia,"A certain Antonio ""de Caro de Boliasco"" frees the --- slave Anna, who is --- years of age. We have a manumission contract where we see the phrase ""secundum usum et consuetudines civitatis romanae""."
Antonio de Ceva,male,artefices,calzolarius,31065,1472–1497,e27ffca4-2b56-4516-8635-dd05fa1a2f45,39841,Caterina,Greek,a60cb7ee-a97d-42d1-b314-5fdc396b40f7,37490,female,1469–1497,1469,1497,28,9003e8dd-2cc7-4695-94ad-762ea630f0e9,40061,,,,,,,"Antonio Pastorino, filza 12, nr. 175",1497,1497,Antonio Pastorino,fe84bd47-7930-4be4-9dcb-b43d9f10df69,25450,Notai antichi 1301,593173d5-24a8-48d0-86c8-b6bdcc8bbda5,37770,Archivio di stato di Genova,d77c91e3-0112-4198-9f0c-90797ab5e760,40218,Franchixia,"The Greek slave Caterina, who is 28 years of age, is freed by a certain Antonio de Ceva, calzolaio."
Antonio de Coronato,male,artefices,,31167,1457–1497,25635511-4b15-4d65-8579-a69a6494c774,26557,Anna,Jewish,818c9d6f-fe39-41e0-a4b5-b23b89fa55dc,31282,female,1475–1497,1475,1497,22,17e4c96f-7df9-4ed2-8abb-a9802317e476,39980,,,,,,,"Antonio Pastorino, filza 12, nr. 102",1497,1497,Antonio Pastorino,fe84bd47-7930-4be4-9dcb-b43d9f10df69,25450,Notai antichi 1301,593173d5-24a8-48d0-86c8-b6bdcc8bbda5,37770,Archivio di stato di Genova,7e8f582e-420c-4d0d-9f18-7fd40aa51989,40217,Franchixia,"The Jewish slave Anna, who is 22 years of age, is freed by a certain Antonio ""de Coronata"""
Antonio de Molinariis,male,artefices,quarelerius,39673,1431–1456,eeae8585-18cf-4094-b275-7305951946cc,39842,Maddalena,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd100,26258,female,1411–1456,1411,1456,45,b8c47c24-6257-4e9f-89cf-4e2ea78745ef,40062,1,,,,y,at the table of the notary,"Tommaso Duracino, filza 2, series II, nr. 168",1456-06-22,1456,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 889,101c0bd8-a7ea-41d9-b9dc-62f2509bd4ac,37833,Archivio di stato di Genova,ef5d3159-ea4c-4658-ba12-bf2c571721d2,40390,Franchixia,"A certain Antonio de Molinariis frees the Tartaran slave Maddalena, who is 45 years of age."
Antonio de Plebe,male,artefices,,,1467–1492,f81117c0-5204-4e77-9bbb-401e59a4893f,39843,Lucia,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,1452–1492,1452,1492,40,258e6fa1-c720-4d90-9e2c-23a76ab09816,40063,,,,,,,"Niccolò Raggi, filza 21, nr. 508",1492,1492,Niccolò Raggi,36f8b974-03c1-4387-a286-cc847b0b1f36,25500,Notai antichi 1033,f233a41c-6552-4332-9af8-9e2a8d8a01f8,37748,Archivio di stato di Genova,de631415-7b74-4a67-88d1-fdb2246f02a3,40365,Franchixia,"A certain Antonio ""de Plebe"" frees the Abkhazan slave Lucia, who is 40 years of age."
Antonio Giustiniani,male,mercantes,,,1434–1459,c94be8df-b3d9-4e19-84c4-3e5654165091,39740,Antonio,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,male,1431–1459,1431,1459,28,e0a9cbe1-8225-42dc-9e9a-90862efa5a7a,39743,,,1500 asp.,y,y,not specified precisely,"Domenico de Algario, filza 1, series I, nr. 58",1459-02-15,1459,Luchino de Porta,d6ef711e-8cf9-46f2-a25d-b2f381537792,25497,Notai antichi 944,d11fdf57-918e-44b7-97d2-f1920a3573cf,39754,Archivio di stato di Genova,4017a7c6-4fea-4157-b6c1-ff209ae8b187,39755,Franchixia sclavi,"This is document 61 in Roccatagliata, Notai genovesi in oltremare, Mitelene. Antonio Giustiniani olim Banca q. Andreolo etc."
Antonio Usodimare,male,nobiles,,,1431–1456,ac2bb7b2-4aa0-4ece-882a-63f7a23b908c,37139,Anna,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd100,26258,female,1420–1456,1420,1456,36,0599c53c-28ec-4ed6-9b61-93c5b106996f,40021,1.5,y,20,,y,in the house inhabited by the holder,"Tommaso Duracino, filza 2, series II, nr. 337",1456-12-20,1456,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 889,101c0bd8-a7ea-41d9-b9dc-62f2509bd4ac,37833,Archivio di stato di Genova,142a9429-61e7-4187-9523-455743f214a5,40394,Franchixia,"A certain Antonio Usodimare frees the slave Anna, who is 36 years of age."
Antoniotto Doria,male,nobiles,,,1439–1497,2cebce3e-e35b-48de-baf7-6bf935fef458,26381,Maddalena,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,1423–1463,1423,1463,40,6d6adb03-a2e6-4aa6-ba2c-a09f7ab6430b,39982,,,unspec.,,y,in the house inhabited by the holder,"Oberto Foglietta, filza 8, nr. 426",1463-09-18,1463,Oberto Foglietta,81f48433-23d8-400f-af76-6c8483a8b922,23507,Notai antichi 728,44385481-51a8-4833-9d9e-1d6dda4a69fa,39816,Archivio di stato di Genova,0f033593-57db-4202-80b6-755c7a768f6f,40370,Franchixia,"A certain Antioniotto Doria the Russian slave named Maddalena. He retains the right of patronage, as well as some other rights."
Argano Vegetto,male,,,,1389–1414,98499be5-f374-4b73-ba3e-d3f4030be58e,39719,Demetrio,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd100,26258,male,1384–1414,1384,1414,30,df9584d3-ca5f-4ffe-995d-5dcbfc69922e,39692,,,,,,,"Paolo Foglietta, filza 1, series I, nr. 409",1414,1414,Paolo Foglietta,b84177e0-a86a-40bb-8cd5-ea2ad8ad9bd1,31251,Notai antichi 546,94bddc96-0e76-4b96-aa49-b6768f3f40aa,39722,Archivio di stato di Genova,c4c82571-7e18-41d7-91e6-c39d5b529630,39723,Franchixia sclave,"The brothers Argano e Clemente Vegeto free the Tartaran slave Demetrio, who is 30 years of age."
Baldassare Spinola,male,nobiles,,,1454–1479,6263a6de-3e00-42f6-b2b9-8f4f822fd8a7,39844,Caterina,Hungarian,269bea4f-a063-4938-be5d-1cd25e1e07dd,31551,female,–1479,,1479,1479,9369bb80-efb6-4538-9793-8692ce1aac67,40064,,,,,,,"Pietro de Ripalta, filza 2, series II, nr. 274",1479,1479,Pietro de Ripalta,617cd8ee-909a-447f-9bb7-23f8b6fefb58,31253,Notai antichi 1094,841214c1-35a9-4da9-aa5f-df2f1fb1907b,39769,Archivio di stato di Genova,645fd6b6-21db-4539-b9a4-1767cba3f1cb,40375,Franchixia,"The Hungarian slave Caterina, who is --- years of age, he redeems herself from servitude by paying 180 lire to her former master Baldassare Spinola."
Barbagina Doria,male,nobiles,,,1462–1487,d79e7879-c511-487c-839b-98e98da6e33f,39845,Giacobina,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd100,26258,female,1437–1487,1437,1487,50,0ea87523-ff9c-44c2-980c-9a1b911df920,40065,,,,,,,"Girolamo Loggia, filza 3, series I, nr. 415",1487,1487,Girolamo Loggia,d8b76ffe-3253-48d9-9328-bfa6d0e6c719,23867,Notai antichi 1123,88f36ce8-de6d-410c-bd04-037ce2331506,39771,Archivio di stato di Genova,fd822fed-0727-42c0-9183-17f19bb8e7fc,40310,Franchixia,"A certain Barbagina Doria frees the Tartaran slave Giacobina, who is 50 years of age."
Bartolomea Ittaliano,female,nobiles,,,1458–1483,74547ef0-036e-47a8-9b0e-a2138b430ec1,39846,Marta,Moorish,04348640-60da-4bab-811c-6f34b0aef7a27,31559,female,1448–1483,1448,1483,35,980afb3e-6567-4d31-ba9d-cd532f3ceceb,40066,6,,,,y,in the house inhabited by the holder,"Giovanni Danove, filza 3, series I, nr. 202",1483-06-09,1483,Giovanni de Novi,4063c1fd-cd7d-46ad-a4d5-256fd90ceb66,31238,Notai antichi 918,b0207022-11d2-47f6-8f3d-e4921182dd2b,37855,Archivio di stato di Genova,e34d7e9a-1ca4-4cf6-9b6b-29b6bcbe9c81,40286,Franchixia,"A certain Bartolomea Ittaliano q. Pietro frees the moorish slave Marta, who is 35 years of age."
Bartolomeo Bione,male,,,,1452–1477,9c4f2dce-1c8f-47de-843d-13c5a3962a41,30042,Caterina,Moorish,04348640-60da-4bab-811c-6f34b0aef7a27,31559,female,1455–1477,1455,1477,22,1f521bbe-3077-4a95-8bf8-31d16035ff0b,34913,,,,,,,"Tommaso Duracino, filza 20, nr. 139 *",1477-03-21,1477,Tommaso Duracino,0a68871e-78fd-4b75-9b96-fb63ad54979c,23448,Notai antichi 907,2260d938-eb32-478e-a127-fac48683ed59,37847,Archivio di stato di Genova,43eafaf9-3e53-4168-bff0-cf9cf5331fb1,40396,Franchixia,"A certain Bartolomeo Biono frees the Moorish slave Caterina, whom he had just purchased, who is 22 years of age."
Bartolomeo Bondenario,male,mercantes,,,1414–1439,f42981a3-1f72-4297-91df-22998b6bb597,39847,Caterina,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,1405–1439,1405,1439,34,786520df-7da9-46e8-86b2-c4aa280bcf87,40067,,,,,,,"Antonio Fazio, filza 6, series I, nr. 194",1439,1439,Antonio de Facio,470ec411-000f-4a1a-a163-9d3bd5fd8e2a,23454,Notai antichi 580,313c4aa2-f312-443a-8d3a-7e655d969238,39801,Archivio di stato di Genova,827d2c74-d786-4dce-aeda-81917b8d36b0,40211,Franchixia,"A certain Bartolomeo Bondinario frees the Russian slave Caterina, who is 32 years of age."
Bartolomeo de Clavaro,male,artefices,,27655,1408–1433,93e31f2f-0200-40fe-894f-b099233ea1ed,30052,Maria,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,–1433,,1433,1433,77465260-c84b-405f-b981-d165fd96bd5f,40012,,,,,,,"Battista Crosa, filza 1, nr. 523",1433,1433,Battista Crosa,c2fa935f-c9fa-4094-b8d5-e728981dbc07,31225,Notai antichi 645,421af37d-1ae9-4961-961f-56f6159eaefb,37812,Archivio di stato di Genova,99b1f4d3-6ea5-47ad-af4b-c66f0a97c03f,40236,Franchixia,"A certain Bartolomeo ""de Clavaro"" frees the Russian slave Maria, who is --- years of age."
Bartolomeo de Crivellis,male,foreign,,26138,1461–1488,d8483af8-6b32-44dd-b4ff-4cf0a33ecddb,30048,Margarita,Abkhazan,2869f03d-235c-4513-981e-534da984124c,31268,female,1456–1488,1456,1488,32,d366d319-9ff8-436c-a82d-165e22f4d3d3,40036,,,,,,,"Niccolò Raggi, filza 18, nr. 140",1488,1488,Niccolò Raggi,36f8b974-03c1-4387-a286-cc847b0b1f36,25500,Notai antichi 1030,2bd680bb-04f8-4ee1-a7da-7033df8c9add,37746,Archivio di stato di Genova,b1f6feed-0972-4dee-8f6b-593262f6e7a0,40361,Franchixia,"A certain Bartolomeo de Crivellis, from Milan, frees the Abkhazan slave Margherita, who is 32 years of age."
Bartolomeo de Mari,male,nobiles,,,1380–1405,38c94307-9e99-49f1-ba1d-b8cf18c674eb,39848,Cristiano,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd100,26258,male,–1405,,1405,1405,bf8dd5b9-eb6c-4a7f-bd96-011b3122491d,40068,,,,,,,"Cristoforo de Revellino, register 24, 1405, volume I, fol. 239r",1405,1405,Cristoforo de Revellino,695ab4e7-a4aa-4d98-a754-dc71fa324d91,25512,Notai antichi 436,d69ea619-a437-4b62-bc03-47510fac1ef6,39791,Archivio di stato di Genova,5c4bfa47-5c93-401d-ab91-38abf6b1fedc,40254,Franchixia,"A certain Bartolomeo de Mari frees the Tartaran slave Cristiano, whose age is not indicated."
Bartolomeo de Sexto,male,artefices,notary,,1388–1413,2950d15b-81be-4c99-bb42-717bbedf2b98,39849,Agnese,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,female,1368–1413,1368,1413,45,5b6a884d-b98b-48ff-9922-aecc6f15c11e,40069,,,40 sol./yr,,y,at the table of the notary,"Giuliano Canella, register 3, 1412–1413, fol. 278v",1413-02-01,1413,Giuliano Canella,58fcf64f-9636-45cc-adf8-35cbb550026c,23161,Notai antichi 480,ef7ef413-856f-43c9-b56f-b0b9bfeea8c3,39792,Archivio di stato di Genova,7a6e95e8-c353-4f39-9061-e3d6b09b3bc5,40313,Franchixia,"A certain Bartolomeo Sisto, notarius, frees the Russian slave Agnese, who is 45 years of age, under certain conditions, including that she gets married ""ut sit femina honesta et non inhoneste vite..."" and reserves the right of patronage."
Bartolomeo Gentile,male,nobiles,,,1471–1496,565d1fb3-9584-4919-b137-ce73f621dcb4,39850,Caterina,Albanian,eff5f423-f260-4a5e-8a8b-42cdfc3b5f84,31272,female,1466–1496,1466,1496,30,79e866c0-ccff-47a6-a05f-8fdbc463a060,40070,,,,,,,"Niccolò  Raggi, filza 23, nr. 367",1496,1496,Niccolò Raggi,36f8b974-03c1-4387-a286-cc847b0b1f36,25500,Notai antichi 1035,3f645dd0-d103-4e50-982c-ef8e8aab44f6,39768,Archivio di stato di Genova,0781ef37-b6f9-4d21-9a66-89843c881d62,40351,Franchixia,"A certain Bartolomeo Gentile frees the Albanian slave Caterina, who is 30 years of age."
Bartolomeo Lomellini,male,nobiles,,,1410–1461,4b2eb749-1405-48b3-b7f3-2fcc56239838,24024,Tartarino,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd100,26258,male,1436–1461,1436,1461,25,d360b602-0815-4dba-bbd1-b3c595ffc2a5,39987,,,,,y,in a home of an independent party,"Giovanni Danove, filza 1, series II, nr. 93",1461-06-22,1461,Giovanni de Novi,4063c1fd-cd7d-46ad-a4d5-256fd90ceb66,31238,Notai antichi 916,1384fdb3-c79e-469a-a434-4e2372ef0a37,39825,Archivio di stato di Genova,a23c1cae-c1ed-4a76-9354-655de1e1f5e7,40278,Franchixia,"A certain Bartolomeo Lomellini frees the Tartaran slave Tartarino, who is 25 years of age."
Bartolomeo Risso,male,artefices,notary,,1413–1458,327f6750-eb71-41b2-9c5a-deb15e5e0785,25517,Giorgio,Russian,2d4212b0-a07e-494a-a7ba-81f254f52363,31354,male,–1438,,1438,1438,b8021415-4788-410c-8586-55601df5a9e6,39983,,,,,,,"Narino Montaldo, filza 3, series I, nr. 150",1438,1438,Narino de Montaldo,dca9d2a2-5e47-4a2c-8c0b-cc1ba7d41f8e,25345,Notai antichi 621,5620f786-7b93-4a9b-81a7-5aaecfafecb5,39807,Archivio di stato di Genova,5fae1cec-0d8d-465b-b609-ab5d4f9c4ea0,40347,Franchixia,"A certain Bartolomeo Russo frees the Russian slave Giorgio, whose age is not given."
