ID,zoteroKey,OCLC,archiveID,archiveLocation,sourceTitle,date,place,language,description,link
7cc347f4-9c4e-4f2c-81ec-12ab1181b938,R4WWS5F7,,ASG,Notai antichi 786,"Andrea de Cairo, filza 6, nr. 203",1450-11-12,Genoa,Latin,A certain Rodrigo Romo of OndÃ¡rroa bequeaths six maravedis (a medieval Spanish copper coin and monetary unit) to the church in his hometown and six others to the Cathedral of Barcelona.,
3fca1a1a-4a40-4e8a-8f64-251f67636143,R6I5DCMI,,ASG,Notai antichi 314,"Andreolo Caito, reg. 1405-1409, fol. 30r-v",1405,Genoa,Latin,"A certain Michele Lomellini sells the Tartaran slave Asperto, who is 22 years of age, to a certain Landuculo de Canari, likely a merchant from the Canary Islands, for 57 lire.",
36cc582e-e259-48bd-a91e-65cd5071454e,B2TBJGG9,,ASG,Notai antichi 1853,"Antiono Fazio, filza 1, nr. 305",1425,Genoa,Latin,"A certain Battista Usodimare sells the Russian slave Giorgio, who is 20 years of age, to a certain Giano Ferrerio, a Catalan, for 83 lire. Gioffrè has the deed as that of Pantaleone Lomellino Fazio, but he was not active until the 1520s. However, the first filza of Antonio Fazio covers 1425, so I assuming that he is the notary here.",
53443fa4-7953-429c-bf44-6e0475a50cf9,P2ISVWH8,,ASG,Notai antichi 1853,"Antonio Fazio, filza 1, nr. 285",1425,Genoa,Latin,"A certain Antonio Carbone, from Asti, a pawnbroker in Genoa, sells the Russian slave Luca, who is 10 years of age, to a certain Francesco de Loreto, a silk-maker, for 85 lire. Gioffrè has the deed as that of Pantaleone Lomellino Fazio, but he was not active until the 1520s. However, the first filza of Antonio Fazio covers 1425, so I assuming that he is the notary here.",
995709dd-4a27-46d9-a865-2e4ba8cd39c3,QAP7CR2N,,ASG,Notai antichi 587,"Antonio Fazio, filza 13, nr. 173",1449,Genoa,Latin,"I am unsure of the year of this transactionr... will need to verify in the document. A certain Leonardo Lomellini, while in Damascus, recieves 700 Venetian ducats in a currency exchange, and leaves a diamond behind as a pledge. Heers catergorizes this as a ""risky"" foreign exchange transaction in these early days of bills of exchange, hence the need for the pledge of the gemstone.",
63ce3a0a-00e8-465e-a6d5-24dc42b736a4,K95QGPG4,,ASG,Notai antichi 587,"Antonio Fazio, filza 13, nr. 260",1449,Genoa,Latin,"A certain Battista de Signorio sells the Russian slave Maria, who is 30 years of age, to a certain Bonifacio Lomellini, for 170 lire.",
79457c21-b9f0-4a66-9612-2946a68ca4d9,R2CB5QA7,,ASG,Notai antichi 588,"Antonio Fazio, filza 14, series I, nr. 282",1454,Genoa,Latin,"A vessel owned by Andrea Ittaliano, capable of carrying 10000 cantares, is mentioned in Flanders (or going to Flanders, need to verify).",
5346018d-7143-4fcb-92fe-344bcbab44b3,7SQZUQVZ,,ASG,Notai antichi 588,"Antonio Fazio, filza 14, series II, nr. 220",1452,Genoa,Latin,"A vessel owned by Nicolò Doria is charged with transporting Eleanora of Portugal, the future empress, to Porto Pisoano. Marco Lomellini arranges the payment of 7500 lire.",
f9a4f612-280c-4ca5-b7ad-5db85f847903,4W4H6AQU,,ASG,Notai antichi 589,"Antonio Fazio, filza 15, nr. 156",1453,Genoa,Latin,"This deed describes a rental of the Tartaran slave Lucia, who is 22 years of age, to a member of the Lomellini family, for 9 years at a cost of 10 lire per year. Gioffrè indicates, I think, that the names may be unreadable or not givenr. Look into this item at the archives.",
4c03ed6d-e605-44cb-a072-82f121fd6629,2WI3NAQR,,ASG,Notai antichi 589,"Antonio Fazio, filza 15, nr. 302",1453,Genoa,Latin,"A certain Giulio Grillo obtains insurance of 170 lire against the risk of childbirth from a certain Gaspare Lomellini for the Hungarian slave Elena, whose age is not indicated.",
b4860d8c-527a-44d0-8205-b5fe6589d867,U7AFPCS4,,ASG,Notai antichi 590,"Antonio Fazio, filza 16, series I, nr. 384",1455,Genoa,Latin,I am not sure that the year of this deed is correct. This deed relates to the vessel Santa Maria patronized by a certain Luca Usodimare.,
6615bdd7-9f18-4fd9-a4ab-99121f22e6ce,5J8N75PS,,ASG,Notai antichi 590,"Antonio Fazio, filza 16, series II, nr. 181",1456-05-12,Genoa,Latin,This deed relates a judgment about a grain transport on a Portuguese ship from Spain to Genoa.,https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dQmVZSVZRLU9LX3M/view?usp=sharing
962d8962-c067-45e0-aa1e-3db14c359b7a,TTQ2ZAJA,,ASG,Notai antichi 590,"Antonio Fazio, filza 16, series II, nr. 442",1456,Genoa,Latin,I am not sure that the year of this deed is correct. This deed relates to the vessel Santa Maria patronized by a certain Luca Usodimare.,
5666d091-c0c5-4aeb-8f6c-c719194b496d,TFZ6J57B,,ASG,Notai antichi 591,"Antonio Fazio, filza 17, nr. ---",1457-04-05,Genoa,Latin,,
fb960ae4-909d-4b01-841d-49339b6f4389,ET87E85N,,ASG,Notai antichi 591,"Antonio Fazio, filza 17, nr. 167",1457,Genoa,Latin,"A certain Giovanni Lomellini frees the Circassan slave Maddalena, who is 25 years of age.",
73899934-cb7e-481e-8082-845e5cae057b,NHGAWAH3,,ASG,Notai antichi 592,"Antonio Fazio, filza 18, series II, nr. 10",1460-03-03,Genoa,Latin,"A certain Sancho de Susonega, from Bilbao, is recorded as shipping five tons (cantares) of goods from Genoa to Ibiza, on the vessel San Salvador.",
b6f5408b-d5a6-406c-827f-e9ae5e4a30e4,4W29QCF2,,ASG,Notai antichi 592,"Antonio Fazio, filza 18, series II, nr. 40",1460-05-10,Genoa,Latin,"A certain Pedro Ortiz, from OndÃ¡rroa, is recorded as shipping four tons (cantares) of goods from Genoa to Sicily, on the vessel San Trinidad. This is related to the document from notary Tommaso Duracino, f. 5, nr. 472, which deals with the same voyage.",
2bbcbe13-de0b-4a5a-a75e-e27a69e9a6d4,NJRJKNG7,,ASG,Notai antichi 593,"Antonio Fazio, filza 19, nr. ---",1460-05-06,Genoa,Latin,,
72393330-a5a9-4b57-8858-966d4228aca4,VEDK82U5,,ASG,Notai antichi 576,"Antonio Fazio, filza 2, nr. 280",1428,Genoa,Latin,"A certain Tobia Lomellini sells the Russian slave Lucia, who is 16 years of age, to a certain Maria Maruffo, a sister of the monastery of San Bartolomeo del Fossato, for 140 lire.",
7b6ecd00-8c40-4274-9da6-1afc18b858c3,2MG4CFRZ,,ASG,Notai antichi 576,"Antonio Fazio, filza 2, nr. 366",1428,Genoa,Latin,"A certain Guiraldo Chaveslo, from Alessandria, sells the Tartaran slave Agnese, who is 14 years of age, to a certain Manuele Usodimare for 140 lire. I am not quite sure how to parse Gioffrè's description of the transaction where he indicates that the sale is for the account of ""Antonio Silvestri Serristori & C. di Firenze.""",
56618244-c53c-46cc-bd40-b35d0b50ffd6,2QN42H5T,,ASG,Notai antichi 576,"Antonio Fazio, filza 2, nr. 4",1429,Genoa,Latin,"A certain Bartolomeo Lomellini sells the slave Maria, who is 28 years of age and whose ethnicity is not indicated, to a certain Jacopo Villano of Florence, for 140 lire.",
2117d53d-4fee-4635-8f99-ad7ee7e3d928,QHXE4J26,,ASG,Notai antichi 576,"Antonio Fazio, filza 2, nr. 78",1429,Genoa,Latin,"A certain Ottobono Imperiale rents the slave Lucia, who is 30 years old and without an indicated ethnicity, to a certain Nicola Ittaliano for 100 lire to be paid in kind through shares in San Giorgio.",
bf53dce5-3669-4824-aeed-0920470b15ac,PQHAMQ6M,,ASG,Notai antichi 594,"Antonio Fazio, filza 20, series I, nr. 345",1462,Genoa,Latin,"I'm not certain about the series or the year of this item. In this deed, Un LucÃ  Boiardo accepte en Â«commande Â» pour 100 lires de marchandises. Il se charge de les revendre en cours de route...",
5b03a5fe-8a79-49d9-98ea-2d7ac010b7eb,822IGCG4,,ASG,Notai antichi 594,"Antonio Fazio, filza 20, series II, nr. 119",1463-04,Genoa,Latin,A certain Carlo Ittaliano is identified as a patron of a vessel constructed in 1463.,
2db2c8e2-ec30-4b4a-a3eb-e276a02cecfa,G89FBQR9,,ASG,Notai antichi 578,"Antonio Fazio, filza 4, nr. 170",1435,Genoa,Latin,"A certain Lorenzo Ittaliano sells the Russian slave Lucia, who is 20 years of age, to a certain Violante Sauli, for 150 lire.",
bd833c19-ca5b-4090-8753-f612f66a55c1,GUUPPIP4,,ASG,Notai antichi 580,"Antonio Fazio, filza 6, nr. 272",1439,Genoa,Latin,"A certain Caterina Lomellini sells the slave Melica, who is 26 years of age and whose ethnicity is not indicated, to a certain Giuliano Baroncio, from Florence. The notary does not indicate the price.",
de2c1f62-bec9-42cd-a2b6-8250a1e06662,DE7N7B5J,,ASG,Notai antichi 581,"Antonio Fazio, filza 7, nr. ---",1441-08-21,Genoa,Latin,,
5758c9e5-daba-4993-9178-52f410261215,25X8TE4V,,ASG,Notai antichi 581,"Antonio Fazio, filza 7, nr. 104",1441-04-13,Genoa,Latin,Mentions a member of the Ittaliano family.,https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6deGI0THZBTzN6d28/view?usp=sharing
bc5402a2-f153-4655-8dab-9d8ef05a6f59,2XIH5SPP,,ASG,Notai antichi 581,"Antonio Fazio, filza 7, nr. 170",1441-09-07,Genoa,Latin,Mentions a member of the Ittaliano family.,https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dY1NlVkpOMzNsYms/view?usp=sharing
bb84df93-0b8b-45cb-8d96-b724f7bcd60b,6FIFSVVF,,ASG,Notai antichi 581,"Antonio Fazio, filza 7, nr. 186",1441-09-13,Genoa,Latin,Mentions a member of the Ittaliano family.,https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dZkhUc0QxWWh5bE0/view?usp=sharing
23709bb9-3884-4fcd-ba26-2fe053a408ae,GR4JN248,,ASG,Notai antichi 581,"Antonio Fazio, filza 7, nr. 231",1441-09-06,Genoa,Latin,Mentions a member of the Ittaliano family.,https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dLXl1UnA5ek1veDg/view?usp=sharing
1cfaa39e-451d-4cc7-b06e-c751a8e76cf0,P6P3JMTN,,ASG,Notai antichi 581,"Antonio Fazio, filza 7, nr. 260",1441-12-17,Genoa,Latin,Mentions a certain Battista Lomellini.,https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6daFYxYldseWxrTzA/view?usp=sharing
a67d4382-fcbc-4dc5-b8b2-9e58b4dd505b,Z8P7G8JD,,ASG,Notai antichi 581,"Antonio Fazio, filza 7, nr. 276",1441-12-17,Genoa,Latin,Mentions a member of the Lomellini family.,https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6ddnBVSDRYT2NXTlk/view?usp=sharing
4152235f-0ca2-45d4-a6d7-4c7810022767,SSX5V3BF,,ASG,Notai antichi 581,"Antonio Fazio, filza 7, nr. 283",1441-12-17,Genoa,Latin,Mentions a member of the Centurione family.,https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dWlV2TDdqcDN6V1E/view?usp=sharing
11396008-7b1d-41e9-ba56-5ca4fc749a95,9JSH2N89,,ASG,Notai antichi 581,"Antonio Fazio, filza 7, nr. 285",1441-12-17,Genoa,Latin,Mentions a member of the Lomellini family.,https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dcFdkU1ZEOE9MemM/view?usp=sharing
bfdb926f-9bf6-4c5b-a71a-5534e6e8547e,P4JIKRB2,,ASG,Notai antichi 581,"Antonio Fazio, filza 7, nr. 48",1441-03-11,Genoa,Latin,Mentions a member of the Lomellini family.,https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dUEl0UUtVVFcwVHM/view?usp=sharing
e39dbe21-250d-4371-8532-e634fa7d2c3e,EA4VQ7JM,,ASG,Notai antichi 931,"Antonio Leardo, filza 1, nr. 303",1445,Genoa,Latin,"This deed concerns the commercial activity of a certain Damiano Lomellini in Cadiz. I'm not quite sure of the year of this deed, double check at the archives.",
8156bac6-8a1f-4139-a73a-86ba951ea565,6FBJD7X2,,ASG,Notai antichi 1300,"Antonio Pastorino, filza 11, nr. 138",1496,Genoa,Latin,"A certain Gabriele de Otone, a silk-maker, sells the slave Caterina, who is 16 years of age and from the Canary Islands, to a certain Spinetta de Pastino, for 170 lire. This may be an incorrect reference by Gioffrè as this deed does not appear to pertain to a sale. Note as well that this filze is very large and disordered.",https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dVVQtTVRUUWtJRFU/view?usp=sharing
3a458565-8ed5-462d-89e8-25dec4e73e94,PW9Q377G,,ASG,Notai antichi 1300,"Antonio Pastorino, filza 11, nr. 338",1496,Genoa,Latin,"A certain Bernardo de Franchis sells the Moorish slave Agnese, who is 20 years of age, to a certain Ansaldo Lomellini, for 220 lire.",https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dV0t0UkVMLTZ1SDQ/view?usp=sharing
4b8a61e0-0272-40af-a85c-66e328e6c4df,GWI9RDN9,,ASG,Notai antichi 1301,"Antonio Pastorino, filza 12, nr. 290",1497,Genoa,Latin,"Gregorio and Agostino Pallavicino sell the Circassan slave Maria, who is 26 years of age, to a certain Ambrogio Lomellini, for 270 lire.",
40150ff0-1730-4e1e-8aae-65e781b5a0d5,ZTUC9VSF,,ASG,Notai antichi 1302,"Antonio Pastorino, filza 13, nr. 429",1498,Genoa,Latin,"A certain Francesco de Pelio sells the Moorish slave Marta, who is 30 years of age, to a certain Francesco Lomellini, for an unspecified price.",
4537f30e-08dc-4b7c-9dae-6ec38a71bee3,ZEG73HTQ,,ASG,Notai antichi 1304,"Antonio Pastorino, filza 15, nr. 587",1499,Genoa,Latin,"A certain Davide de Amico, a doctor of law, rents out the Turkish slave Margherita, who is 30 years of age, to a certain Nicola Usodimare, for 4 years at a cost of 40 lire.",
211db0f3-a5df-415f-ba9b-49fcae0830d1,T4AP6CQ6,,ASG,Notai antichi 1291,"Antonio Pastorino, filza 2, nr. 150",1487,Genoa,Latin,"A certain Antonio Natino rents out the Greek slave Elena, whose age is not indicated, to a certain Francesco Lomellini, for 10 years at a price of 70 lire. At the end of the contract she is to be freed.",
5fe9951e-4a2f-4219-a79b-f5dd2936c45d,KMEPTNG6,,ASG,Notai antichi 1291,"Antonio Pastorino, filza 2, nr. 545",1485,Genoa,Latin,"A certain Francesco Lomellini sells the Turkish slave Valentino, who is 19 years of age, to a certain Goffredo Cattaneo, for 55 ducats.",
dcd210df-71c6-49b0-96eb-d70c537ee284,RRX2IRDR,,ASG,Notai antichi 1293,"Antonio Pastorino, filza 4, nr. 194",1490,Genoa,Latin,"A certain Brigida Calvo sells the Circassian slave Caterina, who is 30 years of age, to a certain Anfreone Usodimare, for 200 lire.",
e19617cd-c846-41a3-a162-49c68f77dea9,XXDFNBRN,,ASG,Notai antichi 1295,"Antonio Pastorino, filza 6, nr. 322",1492,Genoa,Latin,"A certain Nicola Piccamiglio sells the Moorish slave Aspertino, who is 15 years of age, to a certain Giovanni Lomellini, for 65 di Â«pagheÂ».",
8b9ddf37-fe15-4e30-a9f8-f0a3c02667a0,N9KAMEKB,,ASG,Notai antichi 1296,"Antonio Pastorino, filza 7, nr. ---",1493-02-13,Genoa,Latin,"A certain Samuele Abenforra, a Jew, collects from a certain Pasquale Lomellini the two daughters of his brother Abramo, whom he had received as a deposit on the charter of his vessel (cf. Zazzu, Sepharad, p. 131).",
a950be7e-5ee2-4b48-8351-8f95e1146704,PP8HRGS5,,ASG,Notai antichi 1297,"Antonio Pastorino, filza 8, nr. 256",1494,Genoa,Latin,"A certain Anfreone Usodimare sells the Circassan slave Caterina, whose age is not indicated, to a certain Cristoforo Spinola, for 200 lire.",
f9ec1e8c-eccc-449a-aa67-c761ab8af2f7,ADUFERXJ,,ASG,Notai antichi 1298,"Antonio Pastorino, filza 9, nr. 64",1494,Genoa,Latin,"A certain Germonimo de Monelia rents out the Moorish slave Caterina, who is 30 years of age, to a certain Matteo Lomellini, for 12 years at a cost of 120 lire.",
170445bb-baa6-4968-88ad-4aaff9c2d683,GGK52V6X,,ASG,Notai antichi 616,"Antonio Percipiano, filza 1, nr. 43",1455,Genoa,Latin,"A certain Benedetto Ittaliano, the patron of a commerical vessel, corresponds to his employees, indicating an annual wage of 58 lire per year for a sailor. Gioffrè (p. 142) notes this as a base by which to speak of slave prices. I am uncertain about the date of this document. See also Heers, GÃªnes au XVe siÃ¨cle, p. 293. Note that Heers indicates this as item 43, while Gioffrè says it's item 93.",
0be052a7-f326-4e16-bb01-8e9c67afd77f,B5ATRQ4V,,ASG,Notai antichi 846,"Antonio Torriglia, filza 2, nr. ---",1499-11-27,Genoa,Latin,,
cb49005b-9b1d-4bfc-a54d-6b9758b6a96a,X9Q7N6CT,,ASG,Notai antichi 949,"Bartolomeo Canessa, filza 1, nr. 128 (formerly nr. 120)",1464,Genoa,Latin,"This deed concers one Rafaelle Lomellini and some other members of the Lomellini family. It seems to be written in at least two hands, and is a bit of a mess.",https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dLXZoWTJMZEdFZUU/view?usp=sharing
c3c938d5-fe05-4d71-a12b-c5f69e6950fb,XHF29VC2,,ASG,Notai antichi 949,"Bartolomeo Canessa, filza 1, nr. 16 (formerly nr. 12)",1472,Genoa,Latin,"This deed describes the transport from Seville to Barcelona, Tortosa and Pisa by Juan LÃ³pez d'OndÃ¡rroa of 442 sacks of wool, 16 balls of cochineal (a type of  scarlet dye), 3300 pieces of leather, 155 barrels of tuna, 102 bags of orchil (a red or violet dye), 1 mule, and one young slave from the Canary Islands (Heers).",https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dQVlCeXQwNGJRdFU/view?usp=sharing
4f09a486-a0f7-4f5d-9172-b4d41b01d6e4,JIVCNIMA,,ASG,Notai antichi 949,"Bartolomeo Canessa, filza 1, nr. 168 (formerly nr. 164)",1466-01-23,Genoa,Latin,"This deed concens the shipping of merchandise by Bartolomeo Gentile and Ambrogio Ittaliano on a vessel manned by Benedetto Ittaliano and Renaldo Gentile, from the North Sea.",https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dWXBHT2pha2dIRWc/view?usp=sharing
175a87a4-2b98-4def-bc29-41f90f54e9cb,UIEPQ9XN,,ASG,Notai antichi 949,"Bartolomeo Canessa, filza 1, nr. 184 (formerly nr. 176)",1466-06,Genoa,Latin,This deed concens the shipping of 900 tonnes of Medici alum by Benedetto Ittaliano to Bruges. He is a patron of the vessel along with a certain Renaldo Gentile.,https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dWW1wNUx2QVQycTQ/view?usp=sharing
1d0ff31a-f3b3-44e1-b245-f25d667b290b,58JF8QNV,,ASG,Notai antichi 949,"Bartolomeo Canessa, filza 1, nr. 35 (formerly nr. 29)",1463,Genoa,Latin,This deed concers one Jacopo Ittaliano. Read closely to find out the purpose and people, looks like there may be some of the Lomellini involved.
8c65ff37-9944-4207-8bc8-2c9012c709a5,QDBT74FF,,ASG,Notai antichi 404,"Bartolomeo Gatto, registro 9/I, 1399-1400, fol. 5v",1400,Genoa,Latin,"A certain Giovanni Bignono sells the Tartaran slave Cristiana, who is 22 years of age, to a certain Giovanni de Pinu for 105 lire.",
a7837700-77af-433c-90ef-59f6dd6bfe66,AZMZ2VHS,,ASG,Notai antichi 1452,"Bartolomeo Podestà , filza 1, nr. ---",1510-08-06,Genoa,Latin,,
150c3e66-8034-4f79-aac0-cae7ec95f4fd,NRSK4AJ3,,ASG,Notai antichi 715,"Bartolomeo Risso, filza 1, series I, nr. 108",1447,Genoa,Latin,"A certain Mariola Adorno rents the Wallachian slave Anna, who is 30 years of age, to a certain Raimondo Aimari, for 3 years and 25 lire.",https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6deC1DajdRX18ydDQ/view?usp=sharing
7861f94c-0e22-4f23-b5d8-004ca5ef8fc2,KDAQAM3Q,,ASG,Notai antichi 715,"Bartolomeo Risso, filza 1, series I, nr. 11",1446,Genoa,Latin,"A certain Nicola Ferrabino sells the Russian slave Maria, who is 18 years of age, to the blacksmith Francesco Ferrario, for 128 lire.",https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dMjVsTjRNVjB0bUE/view?usp=sharing
c3a2421b-44e4-4cb9-ae4e-cc00a470790b,4KBUMJZ8,,ASG,Notai antichi 715,"Bartolomeo Risso, filza 1, series I, nr. 222",1449,Genoa,Latin,"A certain Cosma Goffredo, from Nice, rents out the Circassan slave Caterina, who is 31 years of age, to a certain banker named Bartolomeo Regio, for two years at a cost of 24 lire.",https://drive.google.com/a/alumni.utoronto.ca/file/d/0B05bCHBidL6dbnhuQXJqbHZjUVk/view?usp=sharing
