sName,sGender,sClass,bClass,sOccupaton,sLocale,sActive,sID,sOMID,svName,svEthnicity,svEthID,svEthOMID,svGender,svAge,svActive,svID,svOMID,bName,bGender,bClass,bOccupation,bLocale,bActive,bID,bOMID,pL,pD,pF,pS,actTitle,actDate,aYear,actPlace,actAuthor (aa),aaID,aaOMID,rights,actID,actOMID
Antonio de Castiliono,male,mercantes,artefices,notarius,,1367–1392,dc508188-616a-4caa-bc7b-678cdc83cbd1,26556,Margarita,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd90,26258,female,18,1374–1392,c4601e4f-b443-4b88-8949-5017423eead1,35418,Margarita wife of Galaffio,female,artefices,speciarius,San Remo,1367–1392,24b9a7b8-658b-4bb5-acf9-421feebccecc,30684,70,,,,"Cristoforo de Revellino, register 6, 1392, fol. 1r–v",1392-01-02,1392,Genoa,Cristoforo de Revellino,695ab4e7-a4aa-4d98-a754-dc71fa324d91,25512,Archivio di stato di Genova,3bb841bf-a3ed-47fd-9c4c-9fa6c5a24884,
Antonio Bertonasso,male,artefices,artefices,sartor,Savona,1369–1394,6e734687-1f3d-49ca-b2e5-285dfd7538a7,31197,Catalina,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd127,26258,female,11,1383–1394,a1196be7-f123-4df0-b410-f7faf1e76248,34896,Leonardo Carrega,male,artefices,,,1369–1394,41c1b7e6-4de3-41d6-b8f1-52182912f295,31199,,,,1000 asp. of Caffa,"Giovanni Ognibono, register 1, 1333–1409, fol. 40r–v",1394-11-11,1394,Caffa,Bartolomeo de Paverio,5d7e8bbc-51bb-4c7d-b33e-29c360dbbd46,31243,Archivio di stato di Genova,8e6ae79f-8fc0-47cd-94d9-60ac3673a7cd,
Michele Centurione,male,nobiles,mercantes,,,1375–1400,683e25ce-7efc-4d4f-aa64-4ce60aee76b7,27275,Lucia,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd53,26258,female,25,1375–1400,dc30ea94-a093-443a-9a92-61dad6259ac1,35309,Gaspare Rodolfo,male,mercantes,,,1375–1400,8a03af67-c873-4635-9b6e-1f99de5a19d3,30362,76,,,,"Bartolomeo Gatto, register 9, volume I, 1399–1400, fol. 20r",1400,1400,Genoa,Bartolomeo Gatto,22040981-79fe-44f2-848b-79024ace6c62,23524,Archivio di stato di Genova,1c512795-4043-4a5d-8182-4077a8c7aa48,
Dexerino de Albingana,male,artefices,artefices,,Albenga,1376–1401,4ea07732-5219-487d-b46b-aa3edf8ab2bc,26831,Margherita,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd87,26258,female,20,1381–1401,832a442c-b080-47c2-b6aa-83a8a2fc81ab,35466,Domenico de Strata,male,artefices,magister axie,,1376–1401,ac9a1f08-43c3-4208-a27d-bd8bd8237299,30257,60,,,,"Cristoforo de Revellino, register 18, fol. 150r *",1401,1401,Genoa,Cristoforo de Revellino,695ab4e7-a4aa-4d98-a754-dc71fa324d91,25512,Archivio di stato di Genova,47eb4934-a2b8-4d04-86d8-75a2b3f10fc6,36350
Dexerino de Albingana,male,artefices,artefices,,Albenga,1376–1401,4ea07732-5219-487d-b46b-aa3edf8ab2bc,26831,Margherita,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd89,26258,female,20,1381–1401,54e029f4-2755-4089-90b5-7b3a502af944,35467,Lanfranco de Pelio,male,artefices,,Camogli,1376–1401,e593fbdb-8ceb-4301-8fb2-147e4ebc81d6,30577,60,,,,"Cristoforo de Revellino, register 18, fol. 150r *",1401,1401,Genoa,Cristoforo de Revellino,695ab4e7-a4aa-4d98-a754-dc71fa324d91,25512,Archivio di stato di Genova,e0497592-d430-4220-9bc6-f788fde5a1a4,36350
Gherardo de Pareto,male,artefices,artefices,,Pareto,1376–1401,16a52c30-1d2e-48cf-b197-1ed7c5b273d4,27153,Giovanna,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd116,26258,female,15,1386–1401,67ab21ee-75ee-480c-8b43-f878808a673d,35186,Manfredo Gropallo,male,artefices,pessarius,,1376–1401,d9dcf90c-6d52-4646-98a7-5e9b8f5bd5b9,30669,88.5,,,88 l. 10 s.,"Giovanni de Allegro, register 2, 1400–1407, fol. 58r",1401,1401,Genoa,Giovanni de Allegro,bcb79a1a-c2e8-42f1-9f5a-38a143a67307,23058,Archivio di stato di Genova,b1057988-b75c-4383-9228-9d6114d275b4,
Domenico de Zignaygo,male,nobiles,mercantes,,,1376–1401,ddf5eb0e-c2bc-4fa5-951d-5e9b6d8c8af0,26839,an unnamed person,,,,,,–1401,90bf52f2-61f2-43c3-9437-a4e7cd8b5205,35849,Giacomo de Franchi,male,mercantes,,,1376–1401,81265ffa-7088-4bdb-852c-38752e911bfc,26962,,,,,"Cristoforo de Revellino, register 18, 1401, fol. 356r",1401,1401,Genoa,Cristoforo de Revellino,695ab4e7-a4aa-4d98-a754-dc71fa324d91,25512,Archivio di stato di Genova,6215651a-7257-4454-aa68-e63844524d6b,
Battista Barisono,male,artefices,artefices,faber,,1377–1402,41a2906a-854e-46aa-ae3a-757fbca302db,26672,Maddalena,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd7,26258,female,26,1376–1402,df217720-0870-4b9a-b7c5-4dc92172b819,35348,Ardingo Ricci,male,artefices,,Florence,1377–1402,f8cbac4d-3235-4154-b7e1-bcc0a0c1fae7,30016,85,,,,"Andreolo Caito, register 6, 1370–1409, item dated 1402-05-08",1402-05-08,1402,Genoa,Andreolo Caito,a067dbb7-bf13-4550-8cc0-be7f3e552647,23122,Archivio di stato di Genova,4e9cb354-c769-4ce2-ba6a-24cef89cbd3a,
Antonio Bolano,male,artefices,artefices,calafatus,,1377–1402,8b4fef4d-845e-47d0-9be7-fa4cbc8d0cd4,26535,Marta,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb122,31361,female,11,1391–1402,d4891ce4-eebb-476a-98b6-6bdac3f66c23,35675,Francesco de Villanova,male,artefices,notarius,Villanova,1377–1402,1d1c9161-33c8-470c-921c-57d302c4cf0e,30297,63.75,,,63 l. 15 s.,"Bartolomeo Gatto, register 9, volume II, 1402–1406, fol. 81r",1402,1402,Genoa,Bartolomeo Gatto,22040981-79fe-44f2-848b-79024ace6c62,23524,Archivio di stato di Genova,b3693576-d185-425f-8960-1054620ac3d9,
Bartolomeo Bertoloto,male,nobiles,mercantes,,,1377–1402,8def4f70-adf7-4bce-9bf6-a49208ce1427,26633,Andrea,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd59,26258,male,20,1382–1402,c3ab7003-1204-4265-940f-3d042d1918c7,34840,Lombardo Brignole,male,mercantes,,,1377–1402,b038dfb1-a211-4e9f-8ac9-123d18f132ea,30630,65,,,,"Bartolomeo Gatto, register 9, volume II, 1402–1406, fol. 128v",1402,1402,Genoa,Bartolomeo Gatto,22040981-79fe-44f2-848b-79024ace6c62,23524,Archivio di stato di Genova,65935b63-3e1f-4b47-999e-c2178580b180,
Damiano de Pagana,male,mercantes,mercantes,,,1377–1402,d8b0fabc-321b-48de-93cc-187024181f44,26827,Cristina,Russian,2d4212b0-a07e-494a-a7ba-81f254f52223,31354,female,28,1374–1402,02d41119-db3f-4434-bd98-dfa97ac9fb8c,35083,Giovanni Stella,male,mercantes,notarius,,1377–1402,41218b85-c548-4d8f-b251-97e734eb50a7,30527,70,,,,"Bartolomeo Gatto, register 9, volume II, 1402–1406, fol. 60v",1402,1402,Genoa,Bartolomeo Gatto,22040981-79fe-44f2-848b-79024ace6c62,23524,Archivio di stato di Genova,a5b7f841-e8a5-4702-b018-c9f56aa6ccc5,
Michele de Socho,male,mercantes,nobiles,,,1377–1402,1ecbaf31-57d4-4a3f-8491-d0c40db43976,27277,Margherita,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd159,26258,female,20,1382–1402,0ca277b6-c34b-4e08-b31c-76dee0450a65,35524,Manfredo di Negro,male,nobiles,legum doctor,,1377–1402,1d4d16a8-6fc0-47f8-ae8e-64cda1e683cf,30668,70,,,,"Simone de Compagnono, filza 1, series I, nr. 7",1402,1402,Genoa,Simone de Compagnono,ccabd390-ed45-4036-975e-e9f60198f4ab,31260,Archivio di stato di Genova,1da16df1-9752-467c-b21a-88458f09d668,
Giovanni Pisano,male,artefices,artefices,mersarius,Pisa,1378–1403,c2643bc5-b14e-4f64-b5c2-44b799807490,27091,Melica,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb152,31361,female,11,1392–1403,c44072c1-6d06-4d12-a851-ffaed10df256,35753,Limbania de Monte,female,artefices,,,1378–1403,8842c6d5-d5d4-49d9-ad7f-173a96d5167d,30615,50,,,,"Cristoforo de Revellino, filza 20, nr. 95",1403,1403,Genoa,Cristoforo de Revellino,695ab4e7-a4aa-4d98-a754-dc71fa324d91,25512,Archivio di stato di Genova,02d5a82c-ef4f-4e8e-92fe-7f472e238364,
Paolo de Castiliono,male,mercantes,artefices,,,1378–1403,d077cc99-e30b-4605-a1d0-8bbf57f41b9c,27344,Cita,Russian,2d4212b0-a07e-494a-a7ba-81f254f52301,31354,female,20,1383–1403,366af9fb-65f7-4d4c-95bd-414125c153a3,35061,Margherita de Clavaro,female,artefices,,,1378–1403,7404985b-90e8-4ca4-9074-bfbe7dc5dfb9,30685,78 15 s,,,,"Giovanni de Allegro, register 2, 1400–1407, fol. 130v",1403,1403,Genoa,Giovanni de Allegro,bcb79a1a-c2e8-42f1-9f5a-38a143a67307,23058,Archivio di stato di Genova,16f26a8f-a592-4bcc-a61b-2d9687d786fc,
Adamo de Ponte,male,artefices,artefices,cultelerius,,1378–1403,13ff847c-6fcc-4d63-be9e-ba0a8631092f,26466,Giorgio,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd95,26258,male,20,1383–1403,63b3f1f7-4c34-4227-9a07-d5b7fd91e1c2,35160,Antonio de Sancto Ulcixio,male,artefices,macellarius,Sant'Olcese,1378–1403,6f03e1e9-4414-4c8e-84ee-b6eeb29601ef,29994,70,,,,"Giovanni de Allegro, register 2, 1400–1407, fol. 107r",1403,1403,Genoa,Giovanni de Allegro,bcb79a1a-c2e8-42f1-9f5a-38a143a67307,23058,Archivio di stato di Genova,a69b0a06-a1c9-42ca-be77-af1614e61b01,
Giovanni Merello,male,artefices,mercantes,,,1378–1403,35a65900-52b4-4f0d-9a58-274363e770d0,27080,Giacobina,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd113,26258,female,22,1381–1403,589885e1-35bb-4659-bc24-b363279e3cc3,35138,Leonardo Campofregoso,male,mercantes,,,1378–1403,e893306b-4d9d-49c2-a57a-42b70e351f2a,27174,75,,,,"Giovanni de Allegro, register 2, 1400–1407, fol. 108r",1403,1403,Genoa,Giovanni de Allegro,bcb79a1a-c2e8-42f1-9f5a-38a143a67307,23058,Archivio di stato di Genova,fc8c9061-bb14-4664-875a-e006e666b542,
Bertono de Monleone,male,mercantes,artefices,,Monleone,1378–1403,7f1ed4b9-72c9-447d-b9a1-9ffee76e14de,26745,Circassa,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb151,31361,female,21,1382–1403,7e43fb30-ddfe-47fc-8159-b185aab7af64,35057,Giovanni de Vadebella,male,artefices,notarius,Coreglia Ligure,1378–1403,ec27796c-3655-4695-b0fb-568861e538c6,30480,75,,,,"Cristoforo de Revellino, register 21, 1403, fol. 229r",1403,1403,Genoa,Cristoforo de Revellino,695ab4e7-a4aa-4d98-a754-dc71fa324d91,25512,Archivio di stato di Genova,dbddb79d-f71c-46b5-b571-259cb73fd824,
Corrado Mazzurro,male,artefices,artefices,notarius,,1378–1403,11d48492-e1d0-49b1-a2d2-ec1ed88f2c20,26806,Lucia,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd104,26258,female,18,1385–1403,2bc7dc04-a1c2-4635-acf1-1844521cfc37,35263,Filippo Gaihi de Sancto Miniato,male,artefices,,San Miniato,1378–1403,060ef5c4-2b9c-41a6-8837-ea22ff68083e,30278,80,,,,"Giovanni de Allegro, register 2, 1400–1407, fol. 107v",1403,1403,Genoa,Giovanni de Allegro,bcb79a1a-c2e8-42f1-9f5a-38a143a67307,23058,Archivio di stato di Genova,b002a430-48b6-4ba4-9bd3-409eee3d1ae2,
Leonardo Campofregoso,male,mercantes,mercantes,,,1378–1403,e893306b-4d9d-49c2-a57a-42b70e351f2a,27174,Margherita,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd123,26258,female,20,1383–1403,7ebf6cdb-8050-448e-aece-226ebe3cecbe,35515,Tommaso Conte,male,mercantes,,,1378–1403,51870691-786a-412e-afaf-bb550975148a,30949,80,,,,"Giovanni de Allegro, register 2, 1400–1407, fol. 102r",1403,1403,Genoa,Giovanni de Allegro,bcb79a1a-c2e8-42f1-9f5a-38a143a67307,23058,Archivio di stato di Genova,e06bf6a7-4bc3-4e4f-b4bb-53d07fa3cdee,
Paolo de Castiliono,male,mercantes,artefices,,,1378–1403,d077cc99-e30b-4605-a1d0-8bbf57f41b9c,27344,Marta,Circassian,4c3f093d-c427-4334-a5be-9d2985e0bb160,31361,female,15,1388–1403,a8d1544e-b57a-4120-b724-027d6b3ef354,35709,Margherita de Vernacia,male,artefices,,Vernazza,1378–1403,24b1d012-0262-458a-b4a4-ae46f0de8324,30686,83,,,,"Giovanni de Allegro, register 2, 1400–1407, fol. 95r",1403,1403,Genoa,Giovanni de Allegro,bcb79a1a-c2e8-42f1-9f5a-38a143a67307,23058,Archivio di stato di Genova,23a697c8-1de9-4e65-8117-754b1396d380,
Paolo de Castiliono,male,mercantes,nobiles,,,1378–1403,d077cc99-e30b-4605-a1d0-8bbf57f41b9c,27344,Sofia,Russian,2d4212b0-a07e-494a-a7ba-81f254f52294,31354,female,21,1382–1403,bc0f19b2-a9aa-4a87-a95b-0b9f4bcdfe94,35798,Andalò Imperiale,male,nobiles,,,1378–1403,ae0fb820-a1e7-4398-afb5-0dfac517ecaf,29952,85,,,,"Giovanni de Allegro, register 2, 1400–1407, fol. 135r",1403,1403,Genoa,Giovanni de Allegro,bcb79a1a-c2e8-42f1-9f5a-38a143a67307,23058,Archivio di stato di Genova,5b6b070e-23d7-4878-9154-f76d0c29cd86,
Paolo de Castiliono,male,mercantes,nobiles,,,1378–1403,d077cc99-e30b-4605-a1d0-8bbf57f41b9c,27344,Lanzarotto,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd119,26258,male,12,1391–1403,a3de9534-5722-43a1-bd7d-41d627e7b44f,35224,Pietro Doria,male,nobiles,,,1378–1403,d4871214-5064-48c5-ab15-e755b1a04633,30845,,,51,51 fl.,"Giovanni de Allegro, register 2, 1400–1407, fol. 110v",1403,1403,Genoa,Giovanni de Allegro,bcb79a1a-c2e8-42f1-9f5a-38a143a67307,23058,Archivio di stato di Genova,89006359-ca34-4c68-9528-44499c752e25,
Teodoro Imperiale,male,nobiles,nobiles,,,1378–1403,aa39c3fd-a785-4e76-9699-2c8815d7d2af,27464,Cita,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd114,26258,female,35,1368–1403,3e0b79cd-3d96-4ad0-b0f6-9d9718f63159,35064,Leonardo di Negro,male,nobiles,,,1378–1403,21e5464f-8168-48d3-b71f-f1a00f78fb1e,25365,,,39,39 fl.,"Giovanni de Allegro, register 2, 1400–1407, fol. 76v",1403,1403,Genoa,Giovanni de Allegro,bcb79a1a-c2e8-42f1-9f5a-38a143a67307,23058,Archivio di stato di Genova,03c20f57-d1fc-4936-a5d0-6101189dd336,
Lanfranco Cicogna,male,mercantes,artefices,,,1379–1404,73ad4b1a-68aa-4107-a5e6-77dd591b46e6,27163,Maddalena,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd14,26258,female,,–1404,f4844639-1e23-4080-a0cb-357bf090077c,35384,Agostino Gropallo,male,artefices,,,1379–1404,8e1eef53-0c94-4080-8c0f-d2dd3a76d691,29930,,,,,"Antonio Bercaneca, register 1, 1337–1408, fol. 47v",1404-12-16,1404,Genoa,Antonio Bercaneca,3c9b0f28-3c8c-43a1-ba9a-1219ac3f8c1c,31222,Archivio di stato di Genova,cf344e8f-b35f-46df-a1a2-485b16f662df,
Raffaele Bocono,male,artefices,nobiles,notarius,,1379–1404,59dc0747-986d-44d0-955b-a3707a1bb0cc,27412,Giacomaccio,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd94,26258,male,24,1380–1404,99444952-c5c4-45ee-9006-e37d03313884,35143,Leonello Marino,male,nobiles,,,1379–1404,4d7c83b3-5608-407d-99eb-c8fca750a81b,30614,68.5,,,68 l. 10 s.,"Giacomo de Camulio, filza 3, nr. 124",1404,1404,Genoa,Giacomo de Camulio,f7257240-5435-4736-9c4f-ea2667633dda,23158,Archivio di stato di Genova,f4f7ed3c-1b26-40d1-aa49-e1e27e5771e5,
Giovanni de Sopranis,male,mercantes,nobiles,,,1379–1404,7015bddd-2b2a-4934-bf6a-d6fec945e63a,27058,Caterina,Turkish,cf223ecb-f243-491c-836e-823d5db2129c,31560,female,20,1384–1404,1d1fe32d-caf6-42d1-aad2-d716c0602c4f,34972,Giovanni de Cancelleriis,male,nobiles,,,1379–1404,1a167887-2f82-4d26-93a2-450a1543348b,30456,90,,,,"Giovanni de Allegro, register 2, 1400–1407, fol. 195r",1404,1404,Genoa,Giovanni de Allegro,bcb79a1a-c2e8-42f1-9f5a-38a143a67307,23058,Archivio di stato di Genova,6b2e9ee3-bb75-4e13-b6e5-7dbe46211874,
Niccolò de Castagna,male,nobiles,artefices,,,1379–1404,39064e83-b7cd-4acc-9ed7-de4438a002b1,27284,an unnamed Tartaran woman,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd15,26258,female,,–1404,3cf1a6f6-9e1d-483d-93ee-e079d486a848,35877,Giovanni de Cucurno,male,artefices,notarius,Cogorno,1379–1404,8e3246f2-a128-42a7-9b35-c3eddf5e5f28,30463,90,,,,"Antonio Bercaneca, register 1, 1337–1408, fol. 40r",1404,1404,Genoa,Antonio Bercaneca,3c9b0f28-3c8c-43a1-ba9a-1219ac3f8c1c,31222,Archivio di stato di Genova,e2fadc92-e0e3-4c94-a0e8-b5f7cdf60d00,
Girolamo Zucareto,male,nobiles,artefices,,,1380–1405,374c64fc-62a5-4a2b-a666-e2ffee7644c7,27118,Maria,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd88,26258,female,13,1392–1405,9aa61b0b-4923-4a77-bc00-83ec35fa6df3,35624,Ginevra Sivori,female,artefices,,,1380–1405,fed0986d-e320-4699-98bc-7c4728140618,30420,50,,,,"Cristoforo de Revellino, register 24, 1405, volume I, fol. 23v",1405,1405,Genoa,Cristoforo de Revellino,695ab4e7-a4aa-4d98-a754-dc71fa324d91,25512,Archivio di stato di Genova,9cd0e2bb-93fb-48f3-be87-98b545696b7f,
Antonio Viviano,male,nobiles,nobiles,,,1380–1405,b0809ebf-d335-4dda-826c-97d17d4e4066,26617,Cristina,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd9,26258,female,36,1369–1405,2d64fad5-398f-4d2e-8e6f-5a999593f39d,35082,Linò Calvi,female,nobiles,,,1380–1405,4b130417-831c-4fb0-934d-90985fad1e01,30616,70,,,,"Andreolo Caito, register 6, 1370–1409, fol. 17r",1405,1405,Genoa,Andreolo Caito,a067dbb7-bf13-4550-8cc0-be7f3e552647,23122,Archivio di stato di Genova,839b71b5-6643-4ae1-8bd0-22608b5d99a4,
Antonio de Ponte,male,artefices,artefices,,,1380–1405,c5ec854b-abf3-4511-82e9-3030a9fad93a,26575,Maddalena,Russian,2d4212b0-a07e-494a-a7ba-81f254f52330,31354,female,24,1381–1405,61db8578-89d0-454e-83da-277f7c60c1e5,35337,Lodovico de Goastis,male,artefices,magister gramatice,,1380–1405,8cfc7314-e31e-4319-9482-2452b40f6e02,30628,60,,,,"Lombardo di Santo Stefano, filza 1, series I, nr. ---",1405,1405,Genoa,Lombardo di Santo Stefano,409a2b77-c594-4a22-98d5-9a99f4980053,30631,Archivio di stato di Genova,faabaad8-6be4-4268-9484-10f115f4dbe5,
Giovanni de Asario,male,mercantes,mercantes,,,1380–1405,bf7e6a21-5e0d-4e1d-b024-987d5c00887b,27037,Maddalena,Tartaran,6c6e1e81-c3f3-4469-8c65-076e967ecfd86,26258,female,30,1375–1405,42f0df98-f921-43aa-83e7-7f515b9dd436,35375,Battista de Savinione,male,mercantes,,Savignone,1380–1405,2a4d65a0-b8e9-4fc0-b018-7a2a68c1cac6,30121,62.25,,,62 l. 5 s.,"Cristoforo de Revellino, register 24, 1405, volume I, fol. 79r",1405,1405,Genoa,Cristoforo de Revellino,695ab4e7-a4aa-4d98-a754-dc71fa324d91,25512,Archivio di stato di Genova,f9f3a987-8f9a-4cf0-9095-e60de6dc951b,
